DateRep	WT	Alpha	Delta	BA1	BA2	BA5	BQ1__BA2_75	XBB_	BA2_86	KP3
2022-10-24	0	0	0	0.002035690594632	0.00843686223400934	0.883616680345081	0.10720313587509	0.0125499958449927	0	0
2022-10-25	0	0	0	0.0020212283351158	0.00840158885967836	0.878614334200613	0.111250518845019	0.0128064583401498	0	0
2022-10-26	0	0	0	0.00200682989783564	0.00836566536441629	0.873455819781876	0.11541459524786	0.0130629785024755	0	0
2022-10-27	0	0	0	0.00199250134926194	0.00832922809122036	0.868141333683829	0.11969730599394	0.013319250446691	0	0
2022-10-28	0	0	0	0.00197824858100936	0.00829241128979403	0.862671501079196	0.124100563302554	0.0135749567743038	0	0
2022-10-29	0	0	0	0.0019640773120236	0.00825534704634758	0.857047394797518	0.128626246478993	0.013829768897766	0	0
2022-10-30	0	0	0	0.00194999309093731	0.0082181652344275	0.851270552529311	0.133276197453029	0.014083347417707	0	0
2022-10-31	0	0	0	0	0.00818099348621661	0.845342991888996	0.138052216072239	0.0143353425543962	0	0
2022-11-01	0	0	0	0	0.00814395718372962	0.839267223080113	0.142956055144145	0.0145853946343883	0	0
2022-11-02	0	0	0	0	0.00810717946932063	0.833046258921059	0.147989415221964	0.0148331346330874	0	0
2022-11-03	0	0	0	0	0.00807078127491887	0.82668362200925	0.153153939129681	0.0150781847737295	0	0
2022-11-04	0	0	0	0	0.00803488136941703	0.820183348826168	0.158451206223191	0.0153201601862055	0	0
2022-11-05	0	0	0	0	0.0079995964236517	0.813549990615045	0.163882726385498	0.0155588340639676	0	0
2022-11-06	0	0	0	0	0.00796504109243867	0.806788610896667	0.16944993375534	0.0157943348490507	0	0
2022-11-07	0	0	0	0.00184106480492545	0.0079313281131552	0.799904779526486	0.175154180190121	0.0160268599463399	0	0
2022-11-08	0	0	0	0.00182798695917871	0.00789856842039803	0.792904563237387	0.180996728465818	0.0162566329072236	0	0
2022-11-09	0	0	0	0.0018150429022325	0.0078668712762888	0.785794512656387	0.186978745218385	0.0164839029554381	0	0
2022-11-10	0	0	0	0.00180223650454146	0.00783634441604756	0.778581645829371	0.193101293633307	0.0167089445250526	0	0
2022-11-11	0	0	0	0.00178957150465159	0.00780709420851029	0.771273428334994	0.199365325892264	0.0169320568222483	0	0
2022-11-12	0	0	0	0.00177705151301867	0.00777922583132689	0.763877750115926	0.205771675388323	0.0171535634223479	0	0
2022-11-13	0	0	0	0.00176468001589167	0.00775284346064354	0.756402899201943	0.212321048723791	0.01737381191335	0	0
