anteil_positiv_tests,region,DatumDesMittwochs,Alter,typ,logit_anteil_positiv_tests,dunkelziffer_aus_posrate_logit
0.02618538151048,Baden-Württemberg,2020-10-07,15-34,alterspezifisch,-3.61601965799906,0.752833240855708
0.0155003166561115,Bavaria,2020-10-07,15-34,alterspezifisch,-4.1512731232945,0.651588342795397
0.0380138814735718,Berlin,2020-10-07,15-34,alterspezifisch,-3.23104862579941,0.825651737957287
0.0238141571393822,Brandenburg,2020-10-07,15-34,alterspezifisch,-3.71337273943319,0.734418595375151
0.0462665406427221,Bremen,2020-10-07,15-34,alterspezifisch,-3.02596520416321,0.864443920472082
0.0178780131482834,Hamburg,2020-10-07,15-34,alterspezifisch,-4.00614388139244,0.679040001223866
0.0403740720974237,Hesse,2020-10-07,15-34,alterspezifisch,-3.16835575091892,0.837510294954915
0.00716376408605298,Mecklenburg Western Pomerania,2020-10-07,15-34,alterspezifisch,-4.93153017875108,0.504000235174392
0.020253857761768,Lower Saxony,2020-10-07,15-34,alterspezifisch,-3.87894821741351,0.703099466259094
0.025,Northrhine-Westphalia,2020-10-07,15-34,alterspezifisch,-3.66356164612965,0.743840522351384
0.0309222994314593,Rhineland Palatinate,2020-10-07,15-34,alterspezifisch,-3.44486720694361,0.785207272194892
0.00477770728612562,Saarland,2020-10-07,15-34,alterspezifisch,-5.33900533778727,0.426925010792694
0.0439109246957281,Saxony,2020-10-07,15-34,alterspezifisch,-3.08068794047646,0.854092940574066
0.0107393593681439,Saxony-Anhalt,2020-10-07,15-34,alterspezifisch,-4.52304239831633,0.581267000119429
0.0131207661192066,Schleswig Holstein,2020-10-07,15-34,alterspezifisch,-4.3203515001469,0.619606629198877
0.0214410862899693,Thuringia,2020-10-07,15-34,alterspezifisch,-3.82077199178086,0.714103684663285
0.0230464980544747,Baden-Württemberg,2020-10-07,35-59,alterspezifisch,-3.74692522854592,0.728072035174905
0.0136243491800886,Bavaria,2020-10-07,35-59,alterspezifisch,-4.28217869384136,0.626827137114593
0.0335058823529412,Berlin,2020-10-07,35-59,alterspezifisch,-3.36195419634627,0.800890532276484
0.0209534001362,Brandenburg,2020-10-07,35-59,alterspezifisch,-3.84427830998004,0.709657389694348
