Bundesland	DatumDesMittwochs	Dunkelziffer_0-14	Dunkelziffer_15-34	Dunkelziffer_35-59	Dunkelziffer_60-79	Dunkelziffer_>=80	Dunkelziffer_all
Baden-Württemberg	2020-08-05	0.463912944933238	0.499980007259094	0.435569408421751	0.303505496344921	0.206501376525557	0.435569408421751
Baden-Württemberg	2020-08-12	0.581071459755247	0.622816265848204	0.525043264743766	0.370701275417032	0.316095477411852	0.525043264743766
Baden-Württemberg	2020-08-19	0.525043264743766	0.595364607419735	0.502573453553231	0.413099597231216	0.239210833296784	0.525043264743766
Baden-Württemberg	2020-08-26	0.531532790870607	0.633770987066756	0.547513075934301	0.441089368660573	0.309598926540325	0.547513075934301
Baden-Württemberg	2020-09-02	0.484283225662955	0.58585270501375	0.470246310989265	0.435569408421751	0.338565288602387	0.499594793881295
Baden-Württemberg	2020-09-09	0.536362444737166	0.60250253792425	0.525043264743766	0.470246310989265	0.393171086607567	0.525043264743766
Baden-Württemberg	2020-09-16	0.592845739339943	0.661935909949239	0.60250253792425	0.541693097654267	0.486896143899766	0.60250253792425
Baden-Württemberg	2020-09-23	0.539143368409214	0.613824534820754	0.56763332049858	0.506823880228597	0.506823880228597	0.56763332049858
Baden-Württemberg	2020-09-30	0.596881181507887	0.667107602775342	0.632043919335924	0.589260380221434	0.534270918231486	0.632043919335924
Baden-Württemberg	2020-10-07	0.697133845982808	0.752833240855708	0.728072035174905	0.699762184616011	0.654278795543063	0.719079316670581
Baden-Württemberg	2020-10-14	0.737288614697259	0.806951769430197	0.79660078953218	0.768159586915402	0.727715121153006	0.78569714102755
Baden-Württemberg	2020-10-21	0.847038898668764	0.9048635503684	0.898155406540327	0.868992246904207	0.861026893041406	0.887682225471871
Baden-Württemberg	2020-10-28	0.914233278371223	0.967340096565385	0.964596710034408	0.953270178948085	0.941328493433547	0.953270178948085
Baden-Württemberg	2020-11-04	0.94001568366104	0.997817970507039	0.990150827634363	0.987535933692207	1.00523378443339	0.984890169438797
Baden-Württemberg	2020-11-11	0.949254945008529	1.00624444388446	1.00162514531341	1.0039463572331	1.02385463954609	0.994517383786872
Baden-Württemberg	2020-11-18	0.943107955934655	1.00375702019512	1.00824208392155	1.00824208392155	1.05814265976196	1.00148154783072
Baden-Württemberg	2020-11-25	0.94931771767247	1.00129644182082	1.00833158461855	1.02179054503795	1.09943406586231	1.00601037269886
Baden-Württemberg	2020-12-02	0.963474436124579	1.01465614767391	1.02116509996868	1.03568897637012	1.121671749933	1.02329527389931
Baden-Württemberg	2020-12-09	0.984863202690538	1.02742555548378	1.04326899597409	1.05814265976196	1.14999292025316	1.04707284206076
Baden-Württemberg	2020-12-16	0.981242436032295	1.01985356136053	1.03682649957735	1.08327641492893	1.17681901631531	1.05266994006767
Baden-Württemberg	2020-12-23	1.02706684197264	1.07676824899955	1.09908873974144	1.16470985413594	1.23587411075344	1.09187123795933
Baden-Württemberg	2020-12-30	1.06861643646148	1.09530364319489	1.10737425301199	1.13541105851523	1.1923834155898	1.12174478949686
Baden-Württemberg	2021-01-06	1.0799842131752	1.07197944403346	1.06849666328408	1.08708617085092	1.16331239482419	1.08708617085092
Baden-Württemberg	2021-01-13	1.03495612820275	1.01481193184334	1.00375702019512	1.02946412745923	1.13283817516103	1.03148544596316
Baden-Württemberg	2021-01-20	0.998590891632875	0.974418063484819	0.972048998079568	0.992543101296699	1.09736889922399	0.996862249259667
Baden-Württemberg	2021-01-27	0.97357652654083	0.947126593562739	0.947126593562739	0.972006521377431	1.06618010635269	0.96963745597218
Baden-Württemberg	2021-02-03	0.959457560489085	0.909146373851764	0.903008981358133	0.923776799185572	1.01757946229825	0.929367500081329
Baden-Württemberg	2021-02-10	0.939617546781045	0.875090354932451	0.871655982189559	0.888304055468234	0.96359893396726	0.891484886217868
Baden-Württemberg	2021-02-17	0.915955013858362	0.85556241627533	0.845089235206874	0.852128043532437	0.906903691233103	0.858942656079018
Baden-Württemberg	2021-02-24	0.945241023815397	0.889408836381892	0.873259683860846	0.866445071314265	0.892499138504227	0.87986486563959
Baden-Württemberg	2021-03-03	0.978087235373169	0.932502361120647	0.922958390378345	0.895220407628284	0.895220407628284	0.916353208599601
Baden-Württemberg	2021-03-10	0.948039179549632	0.95263571668219	0.947045015786433	0.903313432891367	0.87758464599814	0.929367500081329
Baden-Württemberg	2021-03-17	0.941785453227089	0.986286308566843	0.981523412513101	0.930408678394249	0.88325381099784	0.956083168533657
Baden-Württemberg	2021-03-24	0.973939131058679	1.01030080030669	1.00407809488963	0.960267873432689	0.888923444285026	0.977392628609781
Baden-Württemberg	2021-03-31	0.981420653659535	1.02531716890686	1.02351946305846	0.986579653363229	0.888335193674848	0.996862249259667
Baden-Württemberg	2021-04-07	1.04176633129181	1.04463590818856	1.03979144100541	0.981314327679735	0.872298148026024	1.01045261726695
Baden-Württemberg	2021-04-14	1.06194521691694	1.05150546856446	1.03180934493277	0.982929504504432	0.872607199401037	1.01045261726695
Baden-Württemberg	2021-04-21	1.06432674054964	1.05777326728873	1.04660640525824	0.992224031138476	0.872298499732268	1.01909174349235
Baden-Württemberg	2021-04-28	1.04074503618037	1.04073633191407	1.03730099234796	0.981203639185173	0.856243443058293	1.00601037269886
Baden-Württemberg	2021-05-05	1.06381025127679	1.03986718979897	1.03422714210486	0.978803290870274	0.847991459216163	1.00601037269886
Baden-Württemberg	2021-05-12	1.0538328843241	1.02898649047416	1.01870389457772	0.953584213044651	0.817840060899933	0.979919492787012
Baden-Württemberg	2021-05-19	0.990267347611353	0.96699169171877	0.94753434875752	0.883809809159793	0.758786353483856	0.90953859605302
Baden-Württemberg	2021-05-26	0.931200432372875	0.896644310300836	0.874405919998511	0.794352481608506	0.700682709004976	0.84054369593068
Baden-Württemberg	2021-06-02	0.938327019796352	0.889135756630922	0.854980891750328	0.75372119203197	0.652476293971659	0.820339016388939
Baden-Württemberg	2021-06-09	0.841025218041065	0.812358070377395	0.767388053091464	0.653887776646347	0.533644964351375	0.727681016278189
